min,Intensity
1.39666667,927.000000
1.40000000,933.000000
1.40333333,946.000000
1.40666667,947.000000
1.41000000,950.000000
1.41333333,956.000000
1.41666667,949.000000
1.42000000,943.000000
1.42333333,937.000000
1.42666667,943.000000
1.43000000,959.000000
1.43333333,959.000000
1.43666667,966.000000
1.44000000,963.000000
1.44333333,975.000000
1.44666667,970.000000
1.45000000,977.000000
1.45333333,973.000000
1.45666667,968.000000
1.46000000,984.000000
1.46333333,988.000000
1.46666667,982.000000
1.47000000,987.000000
1.47333333,1002.000000
1.47666667,1022.000000
1.48000000,1029.000000
1.48333333,1036.000000
1.48666667,1052.000000
1.49000000,1076.000000
1.49333333,1113.000000
1.49666667,1144.000000
1.50000000,1190.000000
1.50333333,1230.000000
1.50666667,1287.000000
1.51000000,1348.000000
1.51333333,1402.000000
1.51666667,1482.000000
1.52000000,1575.000000
1.52333333,1667.000000
1.52666667,1765.000000
1.53000000,1879.000000
1.53333333,2019.000000
1.53666667,2171.000000
1.54000000,2335.000000
1.54333333,2518.000000
1.54666667,2698.000000
1.55000000,2911.000000
1.55333333,3130.000000
1.55666667,3362.000000
1.56000000,3603.000000
1.56333333,3855.000000
1.56666667,4106.000000
1.57000000,4360.000000
1.57333333,4615.000000
1.57666667,4871.000000
1.58000000,5120.000000
1.58333333,5343.000000
1.58666667,5551.000000
1.59000000,5727.000000
1.59333333,5894.000000
1.59666667,6026.000000
1.60000000,6125.000000
1.60333333,6187.000000
1.60666667,6222.000000
1.61000000,6249.000000
1.61333333,6254.000000
1.61666667,6225.000000
1.62000000,6180.000000
1.62333333,6106.000000
1.62666667,6017.000000
1.63000000,5913.000000
1.63333333,5783.000000
1.63666667,5651.000000
1.64000000,5525.000000
1.64333333,5394.000000
1.64666667,5256.000000
1.65000000,5123.000000
1.65333333,5003.000000
1.65666667,4908.000000
1.66000000,4828.000000
1.66333333,4760.000000
1.66666667,4729.000000
1.67000000,4777.000000
1.67333333,4949.000000
1.67666667,5336.000000
1.68000000,6072.000000
1.68333333,7387.000000
1.68666667,9579.000000
1.69000000,13040.000000
1.69333333,18210.000000
1.69666667,25667.000000
1.70000000,35915.000000
1.70333333,49500.000000
1.70666667,66877.000000
1.71000000,88292.000000
1.71333333,113971.000000
1.71666667,143939.000000
1.72000000,178255.000000
1.72333333,217079.000000
1.72666667,260743.000000
1.73000000,309806.000000
1.73333333,364998.000000
1.73666667,427218.000000
1.74000000,497577.000000
1.74333333,577301.000000
1.74666667,667732.000000
1.75000000,769925.000000
1.75333333,884837.000000
1.75666667,1012365.000000
1.76000000,1151328.000000
1.76333333,1298971.000000
1.76666667,1450143.000000
1.77000000,1598901.000000
1.77333333,1739773.000000
1.77666667,1868511.000000
1.78000000,1981767.000000
1.78333333,2077443.000000
1.78666667,2158343.000000
1.79000000,2227557.000000
1.79333333,2285566.000000
1.79666667,2334259.000000
1.80000000,2368825.000000
1.80333333,2387683.000000
1.80666667,2392067.000000
1.81000000,2384131.000000
1.81333333,2357833.000000
1.81666667,2320050.000000
1.82000000,2262562.000000
1.82333333,2190718.000000
