min,Intensity
0.71333333,390.000000
0.71666667,378.000000
0.72000000,372.000000
0.72333333,389.000000
0.72666667,393.000000
0.73000000,400.000000
0.73333333,402.000000
0.73666667,399.000000
0.74000000,402.000000
0.74333333,413.000000
0.74666667,405.000000
0.75000000,403.000000
0.75333333,407.000000
0.75666667,402.000000
0.76000000,411.000000
0.76333333,430.000000
0.76666667,423.000000
0.77000000,420.000000
0.77333333,442.000000
0.77666667,437.000000
0.78000000,430.000000
0.78333333,428.000000
0.78666667,433.000000
0.79000000,432.000000
0.79333333,433.000000
0.79666667,429.000000
0.80000000,447.000000
0.80333333,455.000000
0.80666667,442.000000
0.81000000,460.000000
0.81333333,462.000000
0.81666667,462.000000
0.82000000,463.000000
0.82333333,478.000000
0.82666667,468.000000
0.83000000,469.000000
0.83333333,480.000000
0.83666667,481.000000
0.84000000,481.000000
0.84333333,483.000000
0.84666667,483.000000
0.85000000,484.000000
0.85333333,479.000000
0.85666667,481.000000
0.86000000,493.000000
0.86333333,488.000000
0.86666667,491.000000
0.87000000,502.000000
0.87333333,508.000000
0.87666667,508.000000
0.88000000,508.000000
0.88333333,513.000000
0.88666667,518.000000
0.89000000,514.000000
0.89333333,517.000000
0.89666667,520.000000
0.90000000,535.000000
0.90333333,544.000000
0.90666667,544.000000
0.91000000,549.000000
0.91333333,556.000000
0.91666667,545.000000
0.92000000,544.000000
0.92333333,533.000000
0.92666667,541.000000
0.93000000,541.000000
0.93333333,547.000000
0.93666667,548.000000
0.94000000,554.000000
0.94333333,567.000000
0.94666667,571.000000
0.95000000,579.000000
0.95333333,560.000000
0.95666667,561.000000
0.96000000,572.000000
0.96333333,567.000000
0.96666667,562.000000
0.97000000,574.000000
0.97333333,579.000000
0.97666667,598.000000
0.98000000,601.000000
0.98333333,612.000000
0.98666667,615.000000
0.99000000,624.000000
0.99333333,611.000000
0.99666667,610.000000
1.00000000,613.000000
1.00333333,608.000000
1.00666667,623.000000
1.01000000,625.000000
1.01333333,620.000000
1.01666667,635.000000
1.02000000,653.000000
1.02333333,662.000000
1.02666667,669.000000
1.03000000,670.000000
1.03333333,678.000000
1.03666667,669.000000
1.04000000,679.000000
1.04333333,676.000000
1.04666667,690.000000
1.05000000,703.000000
1.05333333,714.000000
1.05666667,722.000000
1.06000000,733.000000
1.06333333,725.000000
1.06666667,735.000000
1.07000000,730.000000
1.07333333,726.000000
1.07666667,731.000000
1.08000000,738.000000
1.08333333,735.000000
1.08666667,729.000000
1.09000000,741.000000
1.09333333,745.000000
1.09666667,757.000000
1.10000000,759.000000
1.10333333,762.000000
1.10666667,754.000000
1.11000000,752.000000
1.11333333,746.000000
1.11666667,761.000000
1.12000000,756.000000
1.12333333,762.000000
1.12666667,765.000000
1.13000000,766.000000
1.13333333,768.000000
1.13666667,769.000000
1.14000000,763.000000
1.14333333,757.000000
1.14666667,750.000000
1.15000000,744.000000
1.15333333,745.000000
1.15666667,742.000000
1.16000000,748.000000
1.16333333,760.000000
1.16666667,760.000000
1.17000000,769.000000
1.17333333,781.000000
1.17666667,786.000000
1.18000000,793.000000
1.18333333,798.000000
1.18666667,786.000000
1.19000000,790.000000
1.19333333,813.000000
1.19666667,833.000000
1.20000000,836.000000
1.20333333,835.000000
1.20666667,839.000000
1.21000000,843.000000
1.21333333,851.000000
1.21666667,850.000000
1.22000000,858.000000
1.22333333,857.000000
1.22666667,863.000000
1.23000000,855.000000
1.23333333,857.000000
1.23666667,861.000000
1.24000000,875.000000
1.24333333,881.000000
